agent_id,svi,arrived_at,end_state,original_mode,final_mode,status,evacuation_time_minutes,total_distance_m,start_lat,start_lon,end_lat,end_lon,fail_reason,started_at,used_public_transport,segments_completed,total_segments,start_in_evacuation_area,end_in_evacuation_area,total_wait_time_minutes,total_transit_time_minutes,total_walking_time_minutes,stations_visited,routes_taken,target_destination_name,target_destination_type,target_destination_lat,target_destination_lon,target_destination_distance_m,destination_category,is_home_destination
42_0206,0.4921736941599944,2025-09-01T08:05:00,FAILED,PRIV_CAR_DRIVER,CAR,EVACUATING,5.0,378.19359834184564,48.8162107,2.356917,48.8133745,2.3542443,Missing or invalid location data,2025-09-01T08:00:00,false,0,0,true,true,0.0,0.0,0.0,[],[],École élémentaire André Buvat,school,48.4292219,2.1451672,45835.3412949874,Educational,false
42_0148,0.5197492225840902,2025-09-01T08:05:00,,PRIV_CAR_DRIVER,CAR,EVACUATING,5.0,332.0221175006236,48.9323771,2.060024,48.9326566,2.0564068,,2025-09-01T08:00:00,false,0,0,true,true,0.0,0.0,0.0,[],[],École élémentaire Louis Lachenal,school,48.9936322,1.6908978,27810.076472452598,Educational,false
42_0425,0.5253404248339033,2025-09-01T08:05:00,,LIGHT_COMM_VEHICLE,WALKING,EVACUATING,5.0,353.25579667806784,48.8259609,2.384948,48.8251136,2.3887981,,2025-09-01T08:00:00,false,0,0,true,true,0.0,0.0,0.0,[],[],École maternelle Robert Lesourd,school,48.4738729,2.701844,45474.65603626965,Educational,false
42_0108,0.4401949176269733,2025-09-01T08:01:00,FAILED,PRIV_CAR_DRIVER,CAR,FAILED,1.0,0.0,48.8343467,2.5909915,48.8343467,2.5909915,Could not find any safe destination,2025-09-01T08:00:00,false,0,0,true,true,0.0,0.0,0.0,[],[],,Unknown,,,0.0,Unknown,false
42_0426,0.42053226846850617,2025-09-01T08:05:00,,TRAIN,WALKING,EVACUATING,5.0,297.4511398672781,48.5451041,2.6646389,48.543118,2.6640172,,2025-09-01T08:00:00,false,0,0,true,true,0.0,0.0,0.0,[],[],École maternelle Robert Lesourd,school,48.4738729,2.701844,8390.240448640212,Educational,false
42_0567,0.5217473142278385,2025-09-01T08:05:00,,PRIV_CAR_DRIVER,CAR,EVACUATING,5.0,408.4490777711409,48.5215563,2.0169346,48.5182328,2.01856,,2025-09-01T08:00:00,false,0,0,true,true,0.0,0.0,0.0,[],[],Église Saint-Lubin,place_of_worship,48.471189,1.9985139,5768.590794826026,Religious,false
42_0264,0.7199620679130161,2025-09-01T08:05:00,,BIKE,BIKE,EVACUATING,5.0,558.885452929958,48.8981889,2.2471098,48.895367,2.2408315,,2025-09-01T08:00:00,false,0,0,true,true,0.0,0.0,0.0,[],[],École élémentaire Louis Lachenal,school,48.9936322,1.6908978,41976.76634205397,Educational,false
42_0038,0.6868293072992048,2025-09-01T08:05:00,,SUBWAY,WALKING,EVACUATING,5.0,288.2275511964527,48.8328271,2.3377085,48.83164,2.3407372,,2025-09-01T08:00:00,false,0,0,true,true,0.0,0.0,0.0,[],[],Salle des Fêtes,community_centre,48.4242508,2.1634458,47240.04360534421,Community,false
42_0516,0.6792759459009748,2025-09-01T08:05:00,,SUBWAY,WALKING,EVACUATING,5.0,247.63031447223887,48.8912488,2.3723522,48.892146,2.3749211,,2025-09-01T08:00:00,false,0,0,true,true,0.0,0.0,0.0,[],[],Notre Dame des Lys,school,48.9519554,3.0189843,47725.815663316156,Educational,false
42_0066,0.5593570097249787,2025-09-01T08:05:00,,SUBWAY,WALKING,EVACUATING,5.0,84.49625222865663,48.8798218,2.356469,48.8804476,2.3569432,,2025-09-01T08:00:00,false,0,0,true,true,0.0,0.0,0.0,[],[],Notre Dame des Lys,school,48.9519554,3.0189843,49074.18744527599,Educational,false
42_0242,0.6782674454870304,2025-09-01T08:05:00,,SUBWAY,WALKING,EVACUATING,5.0,173.5595291603578,48.8429282,2.3272328,48.8416753,2.3275593,,2025-09-01T08:00:00,false,0,0,true,true,0.0,0.0,0.0,[],[],Salle des Fêtes,community_centre,48.4242508,2.1634458,48085.57016165432,Community,false
42_0516,0.6792759459009748,2025-09-01T08:05:00,,SUBWAY,WALKING,EVACUATING,5.0,247.63031447223887,48.8912488,2.3723522,48.892146,2.3749211,,2025-09-01T08:00:00,false,0,0,true,true,0.0,0.0,0.0,[],[],Notre Dame des Lys,school,48.9519554,3.0189843,47725.815663316156,Educational,false
42_0040,0.7012121607526361,2025-09-01T08:05:00,,WALKING,WALKING,EVACUATING,5.0,96.24001714260903,48.835771,2.3248191,48.8353281,2.3258075,,2025-09-01T08:00:00,false,0,0,true,true,0.0,0.0,0.0,[],[],Salle des Fêtes,community_centre,48.4242508,2.1634458,47300.462459749106,Community,false
42_0442,0.44576506553937334,2025-09-01T08:05:00,,PRIV_CAR_DRIVER,CAR,EVACUATING,5.0,315.82760733332657,48.8400101,2.3917404,48.8394148,2.3945031,,2025-09-01T08:00:00,false,0,0,true,true,0.0,0.0,0.0,[],[],École maternelle Robert Lesourd,school,48.4738819,2.7014537,46672.11153863107,Educational,false
42_0068,0.7861850359565202,2025-09-01T08:05:00,,TRAIN,WALKING,EVACUATING,5.0,302.4369603868488,48.8875893,2.3655834,48.8858239,2.3652557,,2025-09-01T08:00:00,false,0,0,true,true,0.0,0.0,0.0,[],[],Notre Dame des Lys,school,48.9519554,3.0189843,48299.20338305299,Educational,false
42_0211,0.4810420019584421,2025-09-01T08:05:00,,PRIV_CAR_DRIVER,CAR,EVACUATING,5.0,343.04093192676345,48.8100038,2.3333253,48.80786,2.3333936,,2025-09-01T08:00:00,false,0,0,true,true,0.0,0.0,0.0,[],[],École élémentaire André Buvat,school,48.4292219,2.1451672,44541.29073060886,Educational,false
42_0148,0.5197492225840902,2025-09-01T08:05:00,,PRIV_CAR_DRIVER,CAR,EVACUATING,5.0,332.0221175006236,48.9323771,2.060024,48.9326566,2.0564068,,2025-09-01T08:00:00,false,0,0,true,true,0.0,0.0,0.0,[],[],École élémentaire Louis Lachenal,school,48.9936322,1.6908978,27810.076472452598,Educational,false
42_0549,0.4726213265965427,2025-09-01T08:05:00,,PRIV_CAR_DRIVER,CAR,EVACUATING,5.0,491.8328298517456,48.8714816,2.3430679,48.8703465,2.3495659,,2025-09-01T08:00:00,false,0,0,true,true,0.0,0.0,0.0,[],[],École primaire Le Moulin Rompu,school,48.9519792,3.0190924,50183.96095235715,Educational,false
42_0261,0.5285877465658532,2025-09-01T08:05:00,,BIKE,BIKE,EVACUATING,5.0,483.17069769509396,48.7984683,2.1985726,48.7974287,2.1927679,,2025-09-01T08:00:00,false,0,0,true,true,0.0,0.0,0.0,[],[],Église Saint-Aignan,place_of_worship,48.7774367,1.66293,39320.18822056426,Religious,false
42_0531,0.5311002524886198,2025-09-01T08:05:00,,ELECT_BIKE,CAR,EVACUATING,5.0,294.13608911975666,48.74544,2.2974563,48.7450678,2.2949713,,2025-09-01T08:00:00,false,0,0,true,true,0.0,0.0,0.0,[],[],École élémentaire André Buvat,school,48.4292219,2.1451672,36862.604860755935,Educational,false
42_0377,0.44856462535902686,2025-09-01T08:05:00,,WALKING,WALKING,EVACUATING,5.0,150.8679767428567,48.9409366,2.2528766,48.9415076,2.2518664,,2025-09-01T08:00:00,false,0,0,true,true,0.0,0.0,0.0,[],[],École primaire Arthieul,school,49.1552855,1.8049165,40427.540092110896,Educational,false
42_0233,0.41892034846269743,2025-09-01T08:05:00,,PRIV_CAR_DRIVER,CAR,EVACUATING,5.0,378.19359834184564,48.8162107,2.356917,48.8133745,2.3542443,,2025-09-01T08:00:00,false,0,0,true,true,0.0,0.0,0.0,[],[],École élémentaire André Buvat,school,48.4292219,2.1451672,45774.20231536715,Educational,false
